Mike	22:25 3/6/2004	130
Jim	22:25 3/6/2004	113
Tom	22:25 3/6/2004	105
Lana	22:25 3/6/2004	130
TomH	22:25 3/6/2004	125
Mike	22:26 3/6/2004	153
TomH	22:26 3/6/2004	174
TomH	13:38 2/1/2020	163
Jim	16:41 2/1/2020	127
Tom	16:42 2/1/2020	132
TomH	14:11 2/2/2020	99
Lana	14:11 2/2/2020	147
hie	14:11 2/2/2020	113
Jim	14:11 2/2/2020	137
Tom	22:19 2/2/2020	208
hie	22:19 2/2/2020	157
Tom	22:55 2/2/2020	105
Jim	22:55 2/2/2020	118
Tom	11:11 2/3/2020	140
Lana	11:20 2/3/2020	143
Tom	11:22 2/3/2020	100
Jim	11:25 2/3/2020	135
Tom	12:18 2/3/2020	172
TomH	23:4 2/3/2020	186
Tom	19:54 2/0/2020	116
Jim	19:55 2/0/2020	183
TomH	19:58 2/0/2020	101
Jim	20:0 2/0/2020	105
Lana	20:1 2/0/2020	162
Tom	20:33 2/0/2020	126
Jim	13:47 2/1/2020	177
Tom	13:54 2/1/2020	122
TomH	13:55 2/1/2020	103
Jim	14:3 2/1/2020	75
Lana	14:14 2/1/2020	132
Tom	14:22 2/1/2020	116
Lana	14:22 2/1/2020	139
TomH	14:26 2/1/2020	113
Lana	14:26 2/1/2020	110
Tom	14:57 2/1/2020	139
Jim	15:16 2/1/2020	169
Mike	15:20 2/1/2020	147
Tom	14:24 2/2/2020	111
Mike	14:33 2/2/2020	130
Tom	14:33 2/2/2020	122
Tom	16:26 2/2/2020	140
Tom	18:16 2/2/2020	119
Tom	14:40 3/3/2020	151
Lana	14:54 3/3/2020	113
Jim	14:54 3/3/2020	187
Jim	16:51 3/3/2020	120
Tom	23:31 3/0/2020	154
Tom	0:8 3/1/2020	94
Lana	0:8 3/1/2020	147
Tom	12:56 3/2/2020	150
Tom	13:2 3/2/2020	119
Mike	14:26 3/2/2020	147
Tom	14:26 3/2/2020	157
Jim	14:28 3/2/2020	148
Jim	14:29 3/2/2020	110
Lana	14:29 3/2/2020	160
Lana	19:10 3/2/2020	148
Lana	19:55 3/2/2020	164
Lana	20:14 3/2/2020	120
Mike	1:52 3/3/2020	126
Tom	1:52 3/3/2020	108
re	1:52 3/3/2020	115
Mike	1:58 3/3/2020	174
Lana	1:58 3/3/2020	126
Tom	2:1 3/3/2020	129
Lana	2:1 3/3/2020	120
Mike	2:10 3/3/2020	105
TomH	2:10 3/3/2020	112
Tom	2:10 3/3/2020	173
Jim	11:37 3/3/2020	114
hie	11:37 3/3/2020	107
Lana	11:37 3/3/2020	158
Mike	12:0 3/3/2020	163
Lana	12:0 3/3/2020	162
Mike	12:23 3/3/2020	120
Tom	12:36 3/3/2020	147
Tom	13:43 3/3/2020	102
Jim	14:6 3/3/2020	103
Mike	14:6 3/3/2020	119
TomH	14:6 3/3/2020	112
Tom	15:3 3/3/2020	156
Jim	15:7 3/3/2020	83
TomH	15:7 3/3/2020	158
Lana	15:24 3/3/2020	143
Tom	18:50 3/3/2020	94
Jim	22:52 3/3/2020	167
re	22:52 3/3/2020	138
Jim	23:29 3/3/2020	155
TomH	23:30 3/3/2020	96
Lana	23:30 3/3/2020	95
Lana	23:33 3/3/2020	156
Lana	23:54 3/3/2020	150
Mike	0:27 3/4/2020	122
Lana	1:44 3/4/2020	113
Tom	1:44 3/4/2020	172
re	1:44 3/4/2020	123
Jim	11:39 3/4/2020	130
Mike	12:13 3/4/2020	123
TomH	12:56 3/4/2020	121
Tom	13:22 3/4/2020	126
Lana	18:1 3/4/2020	30
Lana	18:1 3/4/2020	17
Lana	18:4 3/4/2020	120
Lana	18:4 3/4/2020	130
Tom	18:12 3/4/2020	124
Tom	18:16 3/4/2020	117
Tom	18:17 3/4/2020	122
Lana	18:22 3/4/2020	124
Lana	18:23 3/4/2020	133
Tom	18:23 3/4/2020	142
TomH	18:26 3/4/2020	205
TomH	18:26 3/4/2020	157
Tom	18:29 3/4/2020	122
Lana	18:32 3/4/2020	129
TomH	18:32 3/4/2020	157
TomH	18:33 3/4/2020	110
Tom	18:58 3/4/2020	106
Tom	19:2 3/4/2020	99
Tom	19:2 3/4/2020	122
Tom	19:2 3/4/2020	168
Lana	19:3 3/4/2020	159
Lana	19:4 3/4/2020	150
Lana	19:16 3/4/2020	129
Lana	19:39 3/4/2020	131
Lana	19:41 3/4/2020	160
Lana	19:42 3/4/2020	147
Lana	19:42 3/4/2020	114
Lana	19:43 3/4/2020	127
Lana	19:43 3/4/2020	96
Jim	19:58 3/4/2020	107
Jim	20:27 3/4/2020	173
Tom	20:28 3/4/2020	145
hie	20:28 3/4/2020	100
Lana	20:40 3/4/2020	117
Tom	0:1 5/1/2020	139
TomH	0:1 5/1/2020	107
Jim	0:1 5/1/2020	140
Mike	0:3 5/1/2020	102
Jim	16:2 5/5/2023	116
Mike	16:3 5/5/2023	77
